,Year,Area.Code,TA Title,Region Title,Regional Industry GDP-Annual Total,Business Demography-Annual Total Enterprise Count,Business Demography-Annual Total Employee Count,Household-Average Income,Property-Regional Median Home Price Index,Property-New Building Consents,Property-New Dwelling Units Consents,Property-New Commercial Buildings Consents,Population Estimation - Total,Population Estimation - 0-14 Yrs Old,Population Estimation - 15-39 Yrs Old,Population Estimation - 40-64 Yrs Old,Population Estimation - 65 Yrs Old and over,Property-Total Affiliation,Housing-Average Number of Active Bonds,Housing-Average Median Rent,Employment-Average Filled Jobs,Income-Average Total Earnings Millions,Business Demography-ANZSIC_Ind A_Enterprise Count,Business Demography-ANZSIC_Ind B_Enterprise Count,Business Demography-ANZSIC_Ind C_Enterprise Count,Business Demography-ANZSIC_Ind D_Enterprise Count,Business Demography-ANZSIC_Ind E_Enterprise Count,Business Demography-ANZSIC_Ind F_Enterprise Count,Business Demography-ANZSIC_Ind G_Enterprise Count,Business Demography-ANZSIC_Ind H_Enterprise Count,Business Demography-ANZSIC_Ind I_Enterprise Count,Business Demography-ANZSIC_Ind J_Enterprise Count,Business Demography-ANZSIC_Ind K_Enterprise Count,Business Demography-ANZSIC_Ind L_Enterprise Count,Business Demography-ANZSIC_Ind M_Enterprise Count,Business Demography-ANZSIC_Ind N_Enterprise Count,Business Demography-ANZSIC_Ind O_Enterprise Count,Business Demography-ANZSIC_Ind P_Enterprise Count,Business Demography-ANZSIC_Ind Q_Enterprise Count,Business Demography-ANZSIC_Ind R_Enterprise Count,Business Demography-ANZSIC_Ind S_Enterprise Count,Business Demography-ANZSIC_Ind A_Employee Count,Business Demography-ANZSIC_Ind B_Employee Count,Business Demography-ANZSIC_Ind C_Employee Count,Business Demography-ANZSIC_Ind D_Employee Count,Business Demography-ANZSIC_Ind E_Employee Count,Business Demography-ANZSIC_Ind F_Employee Count,Business Demography-ANZSIC_Ind G_Employee Count,Business Demography-ANZSIC_Ind H_Employee Count,Business Demography-ANZSIC_Ind I_Employee Count,Business Demography-ANZSIC_Ind J_Employee Count,Business Demography-ANZSIC_Ind K_Employee Count,Business Demography-ANZSIC_Ind L_Employee Count,Business Demography-ANZSIC_Ind M_Employee Count,Business Demography-ANZSIC_Ind N_Employee Count,Business Demography-ANZSIC_Ind O_Employee Count,Business Demography-ANZSIC_Ind P_Employee Count,Business Demography-ANZSIC_Ind Q_Employee Count,Business Demography-ANZSIC_Ind R_Employee Count,Business Demography-ANZSIC_Ind S_Employee Count,Local Authority Financial Stat- Total Government Spending,Local Authority Financial Stat- Total Govnerment Investment,Population-Population Projection 2023 Onward,Economy Activities - Annual_Actual_Retail_Sales_Values (million dollars),Regional Industry GDP-Wholesale Trade,"Regional Industry GDP-Transport, Postal And Warehousing",Regional Industry GDP-Retail Trade,"Regional Industry GDP-Rental, Hiring And Real Estate Services",Regional Industry GDP-Public Administration And Safety,"Regional Industry GDP-Professional, Scientific And Technical Services",Regional Industry GDP-Owner Occupied Property Operation,Regional Industry GDP-Manufacturing,"Regional Industry GDP-Information Media, Telecommunications And Other Services",Regional Industry GDP-Health Care And Social Assistance,"Regional Industry GDP-GST On Production, Import Duties and Other Taxes","Regional Industry GDP-Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services",Regional Industry GDP-Food And Beverage Services,Regional Industry GDP-Financial And Insurance Services,Regional Industry GDP-Education And Training,Regional Industry GDP-Construction,Regional Industry GDP-Agriculture,Regional Industry GDP-Administrative And Support Services,Regional Industry GDP-Accommodation,Economy Activities - GDP per capita (dollars),Tourism-Total International Visits,Regional Economic Statistics-Population Weighted Average Deprivation Index,Employment-Annual Average Unemployment Rate,Employment-Annual Average Employment Rate,
876,2003,T069,69,Central Otago District,473.42,2499,7825,47889,NA,313,225,11,15700,3000,4150,5800,2750,NA,587.5,181.0833333,NA,NA,981,6,90,9,225,72,147,117,66,9,33,327,96,57,30,36,63,51,84,2350,0,550,65,790,220,800,450,280,50,80,100,290,460,160,400,560,80,140,16565,2105,NA,NA,9.35,16.79,21.91,20,8.14,19.85,30,20.89,14.31,13.44,27.7,67.44,6.13,6.27,15.57,55.35,112.78,5.18,2.32,30154.46,14881,NA,NA,NA,
877,2003,T070,70,Queenstown-Lakes District,781.12,3879,11950,52662,NA,848,761,15,20400,3500,8800,6200,1900,NA,1831.75,274.8333333,NA,NA,327,6,132,15,582,87,270,408,168,78,81,810,288,156,27,42,90,183,129,520,30,350,40,1000,210,1700,3750,640,200,140,340,480,660,160,390,260,790,290,35432,5175,NA,NA,12.51,51.65,65.36,85.9,11.19,27.37,56.72,18.15,100.3,8.83,52.36,29.63,52.93,27.39,14.54,69.66,28.73,21.09,46.81,38289.9,614403,NA,NA,NA,
878,2003,T071,71,Dunedin City,3643.5,9081,52732,38268.62658,NA,477,378,12,120900,21100,48900,35300,15600,NA,7082.25,187.9166667,NA,NA,1116,9,495,24,801,438,792,486,399,72,351,1386,714,243,135,252,546,255,567,1100,12,6700,340,2300,2000,5800,3950,2050,1200,1400,530,2200,2600,2350,7100,8000,1150,1950,117144,29311,NA,NA,111.25,167.57,210.06,186.84,123.93,166.62,299.83,506.98,237.1,305.03,276.77,158.14,67.56,142.75,350.93,170.81,62.7,80,18.63,30136.44,247248,NA,NA,NA,
879,2003,T072,72,Clutha District,596.97,2862,8557,42197,NA,126,43,1,17450,4000,5300,5900,2250,NA,325.75,118.4166667,NA,NA,1668,3,72,3,135,42,129,69,54,9,24,351,48,21,36,48,48,36,66,3050,70,2150,12,410,80,520,320,310,30,50,25,190,25,180,530,410,35,160,22039,60,NA,NA,3.95,25.48,15.71,10.56,9.85,13.42,38.48,141.26,11.09,11.38,35.52,74.93,4.72,5.5,21.15,33.62,137.38,1.41,1.56,34210.03,16754,NA,NA,NA,
880,2003,T073,73,Southland District,1087.1,6366,14222,47719.9234,NA,386,144,13,29300,6700,9300,10100,3200,NA,363,135.9166667,NA,NA,3993,9,108,6,240,51,144,159,117,15,36,1032,63,27,57,75,54,78,102,5400,140,3500,9,340,95,620,1200,1150,18,35,80,190,35,140,640,240,200,190,34383,9288,NA,NA,4.57,91.44,17.39,23.91,10.27,11.28,47.12,213.29,13.58,5.49,64.78,124.19,8.32,3.24,22.01,21.71,386.99,5.83,11.69,36975.99,249163,NA,NA,NA,
881,2003,T074,74,Gore District,406.77,1743,6798,43470.1404,NA,78,33,4,12650,2750,3850,4050,2000,NA,459,118.4166667,NA,NA,786,3,57,6,87,54,111,42,45,9,24,261,33,12,18,30,45,33,87,1050,6,2000,12,280,300,860,340,300,90,90,35,140,35,160,380,480,40,200,12836,68,NA,NA,17.81,18.47,30.67,8.76,7.81,6.99,21.87,100.79,16.64,13.35,30.08,25.25,4.39,7.2,10.38,22.28,61.41,0.88,1.74,32155.26,10466,NA,NA,NA,
882,2003,T075,75,Invercargill City,1608.15,4179,24209,43211.08837,NA,223,145,13,52100,11200,17500,16200,7200,NA,2386.25,157.5,NA,NA,573,3,273,15,408,207,399,186,171,15,177,606,216,96,60,120,237,120,297,640,9,3550,120,1500,1200,3200,1650,1050,690,520,350,1050,980,1250,1850,3100,350,1150,44068,51520,NA,NA,72.6,65.03,110.9,94.29,57.9,62.7,90.96,255.73,101.74,121.12,125.07,149.46,26.28,59.53,58.58,110.96,20.45,18.29,6.56,30866.45,61446,NA,NA,NA,
883,2003,T076,76,Auckland,49260.02,127983,557670,64761,NA,12405,11341,195,1297600,293300,498500,381000,124800,NA,76578.75,300,NA,NA,6111,75,8367,279,15195,8955,9957,4590,4956,1956,6348,21066,17589,5322,792,2286,5079,2652,6408,7000,320,82800,2950,26100,50300,55900,32000,29200,18500,19400,8700,49700,33700,22100,46700,44500,9100,18700,602475,16800756.16,NA,NA,4161.92,2272.95,2506.95,3432.93,1133.98,4222.91,3433.93,8003.84,4427.91,2132.96,3487.93,1155.98,509.99,2992.94,1868.96,1949.96,170,1126.98,267,37962.39,1313040,NA,NA,NA,
884,2003,T999,999,Area Outside Territorial Authority,NA,9,36,NA,NA,0,0,0,160,10,70,70,10,NA,NA,NA,NA,NA,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,659162.8437,17080882.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
885,2004,T001,1,Far North District,1118.21,7203,18050,39252,224869.0833,758,541,22,57000,14100,16100,19400,7400,NA,1758.75,176.5,NA,NA,2715,12,258,24,645,120,423,420,213,30,114,957,309,123,75,201,165,120,279,2250,100,1750,260,1100,260,2200,2150,590,220,170,340,500,560,530,2050,2100,340,580,721184.7305,17365679.79,NA,NA,17.45,44.4,67.5,89.46,28.25,31.69,95.65,108.82,47.26,60.67,77.62,81.02,20.89,19.19,63.94,61.72,165.77,14.67,22.24,19617.91,258866,NA,NA,NA,
886,2004,T002,2,Whangarei District,2058.54,8658,27200,45355,226651.0833,934,733,32,74000,17200,22400,23900,10500,NA,3612.5,191.25,NA,NA,2316,21,429,18,948,270,558,276,339,33,276,1410,504,186,75,177,327,132,363,1400,50,3500,360,1950,1100,3600,1600,1350,500,450,340,1200,1000,1250,2250,3850,400,1050,789042.3748,17655225.49,NA,NA,75.53,132.89,127.39,129.85,66.47,83.16,188.6,309.45,87.19,175.42,153.05,91.9,28.59,61.45,78.36,133.05,107.26,23.41,5.52,27780.38,79887,NA,NA,NA,
887,2004,T003,3,Kaipara District,393.25,3255,5101,45654,217590.0833,276,167,5,18350,4350,5050,6400,2550,NA,440,157.4166667,NA,NA,1698,9,108,3,210,45,153,93,69,6,27,483,63,30,24,51,45,36,102,1300,75,940,9,260,190,580,360,95,18,40,50,90,9,110,480,310,65,120,863284.8739,17949598.91,NA,NA,6.05,6.76,19.17,21.75,5.31,6.18,28.83,72.87,10.59,10.97,23.4,39.15,4.54,5.39,16.75,14.29,99.07,0.93,1.25,21430.74,28734,NA,NA,NA,
888,2004,T011,11,Thames-Coromandel District,605.27,3786,9655,32855,415358.5,585,496,25,26500,4800,6500,9700,5500,NA,1195,190,NA,NA,759,3,198,12,534,66,309,282,117,24,78,669,183,90,45,69,108,81,159,570,30,1350,65,670,180,1650,1200,640,180,130,180,260,170,270,680,950,220,260,944512.9912,18248880.55,NA,NA,16.63,44.07,47.35,53.38,16.02,12.53,41.58,86.72,29.61,32.44,43.37,43.31,14.98,15.59,26.18,41.51,32.84,2.15,5.01,22926.89,175914,NA,NA,NA,
889,2004,T012,12,Hauraki District,351.44,2541,4860,42682,151309.0833,215,139,6,18200,4250,5000,6150,2800,NA,594,163.8333333,NA,NA,1176,15,93,6,174,51,135,78,75,9,33,333,78,33,24,48,51,42,87,810,150,510,30,410,150,650,310,120,55,55,45,220,60,120,560,400,75,130,1033384.017,18553152.25,NA,NA,8.19,5.64,21.11,12.55,6.6,9.15,22.25,27.78,11.38,10.21,23.21,42.86,3.91,5.77,22.86,35.72,80.32,1.28,0.65,19309.29,2503,NA,NA,NA,
890,2004,T013,13,Waikato District,1046.07,7455,13530,51801,168160,702,469,6,57400,14800,18500,18700,5400,NA,1828,176.5,NA,NA,3561,33,276,21,660,162,225,126,183,15,120,1113,246,105,42,123,117,138,189,3900,460,1550,210,950,370,740,790,740,40,60,150,460,370,350,1200,600,270,320,1130617.086,18862497.2,NA,NA,11.82,41.78,16.78,33.51,23.35,62.74,58.65,79.92,26.29,19.04,61.18,314.78,7.8,6.23,34.41,35.29,204.17,5.57,2.76,18256.23,19162,NA,NA,NA,
891,2004,T015,15,Matamata-Piako District,976.91,5094,12000,60193.58031,158880.4167,310,149,11,30800,7300,9500,9500,4500,NA,959.75,167.3333333,NA,NA,2541,9,165,12,270,108,216,96,108,15,99,840,138,54,33,69,87,102,132,2000,85,3250,30,870,390,1350,370,580,90,160,95,490,110,220,730,600,250,330,26233,12740,NA,NA,31.15,47.3,44.51,21.95,12,25.55,61.56,244.01,32.67,16.02,64.22,32.44,5.13,20.88,29.34,56.84,228.33,1.69,1.32,31615.08,9045,NA,NA,NA,
892,2004,T016,16,Hamilton City,4925.68,11607,70045,56300,219696.8333,1342,1179,57,130000,28700,53400,35200,12700,NA,10530.5,236.5,NA,NA,414,6,783,30,1344,702,1092,471,390,90,504,2157,1179,408,114,288,720,207,708,490,25,8200,400,4250,3800,7600,4300,2400,1850,1550,730,4850,4000,3100,7700,10200,1400,3200,109629,14393,NA,NA,302.19,148.63,281.87,364.44,150.79,264.14,370.81,601.3,435.97,426.88,386.83,203.06,63.51,184.68,304.05,312.57,21.82,80.61,21.53,37889.83,98010,NA,NA,NA,
893,2004,T017,17,Waipa District,1055.69,6105,14030,53491,191940.25,605,383,13,42200,9700,13200,13600,5700,NA,1527.25,202.75,NA,NA,2247,9,279,18,543,210,279,129,156,12,123,1077,315,120,24,96,141,138,189,2350,30,1900,100,930,630,1550,680,680,100,180,170,1050,350,250,1350,960,400,370,30743,12926,NA,NA,35.44,68.43,56.07,48.15,15.18,46.3,67.14,126.05,50.16,26.29,70.03,60.69,10.43,32.38,51.81,59.91,222.33,6.52,2.38,25075.8,12543,NA,NA,NA,
894,2004,T018,18,Otorohanga District,257.14,1833,3342,96904.62956,115425,100,44,5,9410,2270,3280,2930,930,NA,131.4545455,141.4545455,NA,NA,1053,3,36,6,78,27,51,33,33,0,30,333,33,15,9,24,21,15,33,920,12,320,30,140,55,270,130,150,9,21,40,150,50,540,220,120,95,70,10413,686,NA,NA,3.34,15.09,9.33,3.53,26.72,6.81,15.04,14.82,6.45,3.47,15.69,12.91,1.68,2.57,9,8.65,100.38,1.55,0.11,27328.16,6716,NA,NA,NA,
895,2004,T019,19,South Waikato District,795.25,2268,8722,63592,70524.83333,95,30,7,23800,6500,7600,7100,2600,NA,1171,131.3333333,NA,NA,924,6,111,9,117,42,159,72,81,9,63,297,69,33,21,60,57,33,105,1450,6,2450,21,380,95,850,420,280,110,60,85,210,100,240,910,510,85,460,16594,15538,NA,NA,6.53,23.04,29.17,53.65,13.03,12.62,51.12,238.59,25.08,19.73,53.33,102.73,6.06,7.5,30.23,25.07,93.35,2.3,2.12,33414.16,940,NA,NA,NA,
896,2004,T020,20,Waitomo District,326.5,1617,4450,38281.21046,91762.16667,77,20,3,9740,2530,3090,3060,1060,NA,265.5,140.25,NA,NA,828,6,27,3,63,33,66,54,36,6,24,261,39,15,24,39,27,24,42,1050,55,880,65,210,110,330,340,160,35,40,55,140,60,100,360,260,110,90,13159,8428,NA,NA,7.49,12.16,9.7,12.93,7.55,6.84,18.89,46.97,14.34,8.74,19.75,45.57,3.34,4.64,13.1,16.06,75.92,0.38,2.13,33520.43,51503,NA,NA,NA,
897,2004,T021,21,Taupo District,1035.36,4092,14060,52837.33569,313725.4167,539,437,13,33200,7600,10700,10700,4200,NA,1927.25,209.4166667,NA,NA,747,6,189,27,507,99,318,291,174,24,99,675,240,111,60,87,117,135,186,1400,100,1300,160,930,230,1900,2500,650,230,160,330,420,300,720,1000,880,400,450,42197,39137,NA,NA,20.84,47.88,67.51,76.22,39.63,27.92,63.87,88.5,56.33,25.68,65.9,181.43,21.51,18.71,32.03,58.45,105.98,6.52,30.45,31184.52,263985,NA,NA,NA,
898,2004,T022,22,Western Bay of Plenty District,851.72,7620,11164,54606,302405.9167,613,423,9,41100,9200,11000,14800,6100,NA,1292.75,202.9166667,NA,NA,3873,9,255,9,591,150,195,120,135,15,114,1308,273,144,24,78,102,66,159,3350,65,1500,9,570,220,890,480,340,30,100,200,390,930,100,770,760,110,350,36133,18,NA,NA,16.34,25.58,30.89,49.31,5.51,33.92,58.86,99.45,24.98,21.8,53.89,64.56,6.75,15.88,27.7,29.15,239.69,45.27,2.19,20572.32,1473,NA,NA,NA,
899,2004,T023,23,Tauranga City,3361.01,11505,44165,45085,353672.5,1620,1496,38,102300,21700,31900,31500,17200,NA,7165.5,247.0833333,NA,NA,813,3,735,33,1713,582,1032,414,480,48,486,2271,978,360,63,192,534,171,597,1150,15,5500,160,3550,2150,6200,3200,3200,1050,810,700,2550,1750,1500,3000,5500,580,1600,87404,19312,NA,NA,203.27,303.38,242.16,282.87,85.79,199.61,269.53,429.54,141.4,235.98,246.79,113.52,57.02,107.25,112.12,241.05,25.52,52.94,11.27,32983.38,116263,NA,NA,NA,
900,2004,T024,24,Rotorua District,2273.68,6870,29519,51952,178892.25,346,224,22,68100,17200,23100,20600,7200,NA,4157.5,181.0833333,NA,NA,1305,3,366,21,606,252,543,402,291,45,180,1086,465,195,87,171,306,183,363,2350,9,3600,140,1450,1100,3200,3500,1200,470,430,380,1450,710,1350,2700,3150,1350,980,65415,5874,NA,NA,99.44,106.02,121.16,131.44,74.42,121.76,172.95,300.43,139.98,142.8,165.72,209.74,40.22,53.5,101.23,101.42,123.79,16.74,50.92,33387.59,583409,NA,NA,NA,
901,2004,T025,25,Whakatane District,895.33,3714,11373,53544,207394.3333,235,162,6,34400,8900,10700,10700,4100,NA,1416.5,200.8333333,NA,NA,1263,6,123,15,267,78,261,129,105,15,81,597,192,75,42,114,135,60,156,1500,18,880,95,570,190,1550,700,400,200,160,150,370,430,450,1400,1800,110,400,28622,13646,NA,NA,13.58,37.37,56.98,39.5,31.49,31.19,66.93,84.74,27.78,71.35,61.28,118.62,11.59,23.59,48.59,39.33,112.11,15.9,3.41,26026.45,38161,NA,NA,NA,
902,2004,T026,26,Kawerau District,396.28,333,3226,53858.73373,70740.5,19,4,0,7230,2110,2260,2080,780,NA,371,133.1666667,NA,NA,15,0,36,0,33,12,30,15,12,0,15,45,18,12,12,18,15,12,33,25,0,1850,3,220,35,210,80,90,6,35,30,12,15,100,280,110,15,110,5880,31,NA,NA,3.96,6.26,6.57,10.14,5.81,0.83,34.08,249.45,9.14,3.27,31.21,2.53,1.61,2.98,9.53,16.3,0.71,1.54,0.36,54809.68,NA,NA,NA,NA,
903,2004,T027,27,Opotiki District,186.71,1128,2808,41619.53076,130628,67,35,1,9430,2640,2600,2940,1250,NA,249.5,145,NA,NA,540,0,27,6,72,12,54,42,18,3,21,144,39,21,12,42,30,12,33,750,0,75,9,110,45,340,140,85,18,30,25,75,350,80,380,200,21,75,6691,50,NA,NA,2.42,10.95,12.15,7.22,5.63,4.5,13.09,2.32,4.23,7.66,11.99,23.51,1.64,2.31,12.42,7.67,49.13,6.96,0.91,19780.72,10464,NA,NA,NA,
904,2004,T028,28,Gisborne District,1098,4626,20595,53981.47088,150783.5833,210,125,11,45800,12100,14600,13800,5300,NA,1912.75,169,NA,NA,1674,9,162,12,339,126,303,162,156,18,99,630,183,90,72,159,162,78,192,5000,25,2200,60,1050,700,1950,1100,760,210,160,200,600,890,840,1950,2050,220,630,50642,20799,NA,NA,28.03,65.06,65.06,67.06,44.04,38.03,68.06,118.11,46.04,75.07,78.07,95.09,14.01,15.01,62.06,75.07,123.11,14.01,7.01,23973.8,38432,NA,NA,NA,
905,2004,T029,29,Wairoa District,292.65,1005,3572,56448.99595,106922.5833,34,12,0,8920,2370,2620,2900,1030,NA,224.5,115.9166667,NA,NA,510,6,24,6,48,12,48,33,15,6,6,117,18,9,27,48,27,18,27,990,6,780,30,160,35,310,160,45,30,25,25,75,6,130,390,240,55,80,16882,2556,NA,NA,2.8,2.72,8.02,3.19,6.93,4.95,16.21,133.41,5.16,8.96,18.67,16.18,1.28,2.19,9.1,9.71,42.11,0.07,0.99,32809.3,6985,NA,NA,NA,
906,2004,T030,30,Hastings District,2300.68,8346,37888,52750.29514,219980.3333,545,350,23,71800,17500,22700,22700,8900,NA,3031,196.0833333,NA,NA,2562,0,399,21,639,300,474,243,219,39,315,1512,480,177,57,180,264,120,345,8300,18,6400,200,1750,1200,3250,1600,940,480,430,370,1400,2400,1150,2900,3800,410,890,58891,1168,NA,NA,75.46,66.91,104.74,83.07,54.85,92.12,142.96,573.64,60.31,162.41,164.65,120.47,16.6,43.6,75.88,94.35,311.64,49.85,7.17,31998.28,34073,NA,NA,NA,
907,2004,T031,31,Napier City,1488.71,5196,23061,51626.57954,259386.5833,338,278,15,56200,12200,17600,17900,8500,NA,3077.25,219.8333333,NA,NA,471,3,360,15,564,204,489,273,249,33,213,891,405,162,69,117,273,114,291,1400,3,3150,18,1550,920,3200,2200,1300,200,400,380,1050,870,1250,1950,1750,550,920,51257,3653,NA,NA,67.16,116.19,96.7,138.73,57.09,82.01,98.11,242.41,69.08,48.8,113,73.82,25.08,47.53,59.75,94.53,24.93,22.82,10.97,26489.47,129736,NA,NA,NA,
908,2004,T032,32,Central Hawke's Bay District,474.23,2232,7560,54602.98751,156760.8333,174,81,6,13250,3050,3900,4650,1650,NA,487.5,149.5,NA,NA,1083,3,48,3,132,42,87,57,36,6,45,426,45,18,30,48,48,30,45,2800,45,1950,30,230,120,490,210,210,40,45,55,150,15,80,350,620,45,75,17155,8819,NA,NA,8.47,12.19,15.85,6.3,3.48,8.58,23.88,199.84,6.56,11.81,27.51,17.8,1.62,4.96,9.7,12.16,101.06,0.37,2.09,35927.35,1847,NA,NA,NA,
909,2004,T033,33,New Plymouth District,2978.88,7410,29500,53308.85168,204561.25,533,342,14,70100,14900,22100,22700,10400,NA,3291.5,197.5833333,NA,NA,1737,30,405,33,657,285,558,273,270,39,252,1125,513,186,60,147,339,138,363,1450,530,3650,340,1950,1250,3600,2300,1300,870,400,420,1650,960,1000,2550,3700,430,1150,66383,1541,NA,NA,93.88,113.7,130.31,124.78,49.1,143.66,144.34,483.69,98.13,147.59,221.9,679.37,27.89,59.54,93.07,125.44,182.09,44.75,15.65,42494.72,58851,NA,NA,NA,
910,2004,T034,34,Stratford District,204.32,1482,2770,41808.72995,89453.08333,92,32,0,9150,2120,2830,2870,1330,NA,326.75,128.1666667,NA,NA,780,6,42,6,75,21,69,39,27,0,15,222,33,9,15,30,24,27,42,560,3,170,12,150,90,440,150,160,15,50,25,110,30,160,320,210,40,75,8911,607,NA,NA,7.19,9,13.31,6.07,9.51,6.6,10.28,7.93,5.5,5.11,14.36,16.54,1.22,6.95,10.83,9.44,62.6,0.54,1.34,22328.74,5617,NA,NA,NA,
911,2004,T035,35,South Taranaki District,1527.2,4374,12060,54556.07229,96005.75,248,61,6,27700,6700,9000,8500,3500,NA,917.75,141.9166667,NA,NA,2460,9,114,12,156,75,168,90,63,15,90,606,93,36,39,84,72,63,129,1900,260,4500,30,570,260,990,350,250,140,120,110,440,100,260,760,630,120,270,31198,71223,NA,NA,21.04,18.29,33.6,29.37,14.37,29.81,62.58,317.85,21.27,21.81,96.2,505.59,6.29,14.66,27.67,32.95,265.46,6.93,1.46,55133.21,10483,NA,NA,NA,
912,2004,T036,36,Ruapehu District,443.68,1926,6037,46543,77904.5,90,46,3,14500,3650,4950,4450,1450,NA,528.75,125.3333333,NA,NA,837,3,45,6,117,36,105,117,48,12,27,255,45,27,33,63,42,45,63,1400,12,390,65,530,95,510,580,140,30,45,60,90,90,870,490,370,130,140,18963,3123,NA,NA,5.69,19.54,16.74,19.07,49.87,4.83,26.51,31.72,27.58,14.79,28.79,54.46,7.07,5.18,17.53,35.52,66.97,2.24,9.58,30597.24,73682,NA,NA,NA,
913,2004,T037,37,Whanganui District,1081.79,3729,17630,"46,428",111712.75,183,103,12,43900,9700,13100,13900,7200,NA,2108.75,145.8333333,NA,NA,792,3,204,9,339,123,309,150,117,18,117,597,189,84,51,111,183,102,231,1050,0,2850,150,1100,500,2000,1050,620,450,200,130,610,520,1100,1800,2600,270,630,43316,12034,NA,NA,28.47,33.31,70.67,45.82,71.46,34.33,71.94,167.41,64.29,99.5,78.13,93.08,12.86,27.07,62.4,61.83,41.71,13.09,4.42,24642.32,50549,NA,NA,NA,
914,2004,T038,38,Rangitikei District,320.88,2214,5157,44754,84397.16667,127,26,2,15350,3600,4650,5000,2100,NA,449.25,127.0833333,NA,NA,1038,3,69,6,135,45,111,75,51,9,24,348,60,15,27,48,42,30,78,1600,30,620,3,300,130,520,420,130,25,40,40,140,9,100,510,280,140,120,23996,1096,NA,NA,7.05,10.22,17.03,8.47,5.59,9.18,18.7,40.26,10.56,8.73,20.48,22.25,3.99,5.56,17.26,16.69,93.2,0.47,5.19,20904.56,7454,NA,NA,NA,
915,2004,T039,39,Manawatu District,543.43,3516,7119,50729,143745.6667,217,107,5,26400,6100,8200,8800,3300,NA,813.75,172.5833333,NA,NA,1599,0,111,12,237,93,141,75,90,6,48,630,111,60,33,63,51,39,117,1400,0,1250,9,320,270,740,350,230,60,70,90,200,120,730,610,430,70,170,31212,6781,NA,NA,23.36,22.34,27.03,24.39,42.02,15.65,34.15,111.74,17.36,11.02,37.08,22.52,3.85,8.08,24.19,22.2,88.85,3.08,4.52,20584.55,464,NA,NA,NA,
916,2004,T040,40,Palmerston North City,2825.39,7017,44238,52930.55062,187849,523,416,17,79900,16400,32600,22100,8800,NA,5526.5,197.0833333,NA,NA,660,6,444,24,684,387,645,327,324,39,243,1233,579,201,84,168,357,144,468,590,18,3750,210,2650,2350,4900,3000,1800,760,690,450,2800,2550,3900,5700,5700,820,1600,65393,74811,NA,NA,149.59,126.22,185.2,190.41,225.61,196.49,195.37,223.15,150.55,214.51,212.17,95.9,39.8,91.73,261.37,164.19,28.9,59.5,14.73,35361.6,50956,NA,NA,NA,
917,2004,T041,41,Tararua District,413.95,3060,6863,59691.03476,90436.16667,143,37,4,18150,4350,5400,5950,2450,NA,567,131.0833333,NA,NA,1635,6,90,9,159,42,111,75,63,6,33,519,51,24,39,42,42,39,75,2050,18,1350,45,340,140,770,290,150,30,75,45,210,40,180,550,370,70,140,22020,5059,NA,NA,8.66,9.38,23.99,9.99,9.43,9.59,24.57,85.03,10.06,10.23,26.75,34.1,2.7,9.47,20.62,18.34,98.78,1.04,1.22,22806.56,322,NA,NA,NA,
918,2004,T042,42,Horowhenua District,568.64,2823,8721,39866,131263.3333,210,144,4,30600,6600,8300,9900,5800,NA,1375.25,151.6666667,NA,NA,873,0,183,12,279,93,195,117,81,15,48,396,99,54,33,63,81,60,141,1100,6,1650,120,440,320,1100,460,190,150,110,75,180,120,250,800,1200,130,320,19431,3047,NA,NA,16.57,12.4,37.68,28.5,14.23,11.78,34.23,81.85,22.8,46.38,37.17,69.49,6.57,13.13,30.16,22.82,79.4,2.29,1.19,18583.14,9606,NA,NA,NA,
919,2004,T043,43,Kapiti Coast District,728.12,4254,10879,44680,240905.6667,505,450,10,45900,9100,11600,15000,10200,NA,2239.25,212.9166667,NA,NA,441,6,219,15,756,147,327,153,132,39,126,672,471,153,30,96,168,96,207,380,9,850,80,1050,210,1900,1100,290,190,160,280,530,300,300,1350,1250,160,490,34401,145,NA,NA,15.94,16.84,65.32,61.05,23.04,30.7,37.78,79.63,53.71,35.99,48.21,78.52,12.67,31.35,44.44,62,22.21,4.13,4.59,15863.4,23155,NA,NA,NA,
920,2004,T044,44,Porirua City,998.73,3240,13555,62927,240323.4167,161,126,11,50500,13500,18300,15000,3700,NA,2074.5,223.1666667,NA,NA,132,0,126,9,534,129,294,111,174,48,111,447,456,111,36,129,147,78,168,60,0,1050,25,870,490,2350,1050,280,180,170,150,890,220,720,2550,1850,230,420,40449,5770,NA,NA,35.26,20.57,77.65,44.99,55.76,62.35,59.58,186.15,63.84,88.83,76.02,27.34,16.33,25.51,94.4,52.44,4.32,5.31,2.08,19776.97,NA,NA,NA,NA,
