"","Area.Code","Year","TA Title","Region Title","Regional Industry GDP-Annual Total ($ M)_Scaled","Business Demography-Annual Total Enterprise Count_Scaled","Business Demography-Annual Total Employee Count_Scaled","Household-Average Income ($)_Scaled","Property-Regional Median Home Price Index ($)_Scaled","Property-New Building Consents Count_Scaled","Property-New Dwelling Units Consents Count_Scaled","Property-New Commercial Buildings Consents Count_Scaled","Population Estimation - Total Count_Scaled","Population Estimation - 0-14 Yrs Old Count_Scaled","Population Estimation - 15-39 Yrs Old Count_Scaled","Population Estimation - 40-64 Yrs Old Count_Scaled","Population Estimation - 65 Yrs Old and over Count_Scaled","Housing-Average Number of Active Bonds Count_Scaled","Housing-Average Median Rent ($)_Scaled","Business Demography-ANZSIC_Ind A_Enterprise Count_Scaled","Business Demography-ANZSIC_Ind B_Enterprise Count_Scaled","Business Demography-ANZSIC_Ind C_Enterprise Count_Scaled","Business Demography-ANZSIC_Ind D_Enterprise Count_Scaled","Business Demography-ANZSIC_Ind E_Enterprise Count_Scaled","Business Demography-ANZSIC_Ind F_Enterprise Count_Scaled","Business Demography-ANZSIC_Ind G_Enterprise Count_Scaled","Business Demography-ANZSIC_Ind H_Enterprise Count_Scaled","Business Demography-ANZSIC_Ind I_Enterprise Count_Scaled","Business Demography-ANZSIC_Ind J_Enterprise Count_Scaled","Business Demography-ANZSIC_Ind K_Enterprise Count_Scaled","Business Demography-ANZSIC_Ind L_Enterprise Count_Scaled","Business Demography-ANZSIC_Ind M_Enterprise Count_Scaled","Business Demography-ANZSIC_Ind N_Enterprise Count_Scaled","Business Demography-ANZSIC_Ind O_Enterprise Count_Scaled","Business Demography-ANZSIC_Ind P_Enterprise Count_Scaled","Business Demography-ANZSIC_Ind Q_Enterprise Count_Scaled","Business Demography-ANZSIC_Ind R_Enterprise Count_Scaled","Business Demography-ANZSIC_Ind S_Enterprise Count_Scaled","Business Demography-ANZSIC_Ind A_Employee Count_Scaled","Business Demography-ANZSIC_Ind B_Employee Count_Scaled","Business Demography-ANZSIC_Ind C_Employee Count_Scaled","Business Demography-ANZSIC_Ind D_Employee Count_Scaled","Business Demography-ANZSIC_Ind E_Employee Count_Scaled","Business Demography-ANZSIC_Ind F_Employee Count_Scaled","Business Demography-ANZSIC_Ind G_Employee Count_Scaled","Business Demography-ANZSIC_Ind H_Employee Count_Scaled","Business Demography-ANZSIC_Ind I_Employee Count_Scaled","Business Demography-ANZSIC_Ind J_Employee Count_Scaled","Business Demography-ANZSIC_Ind K_Employee Count_Scaled","Business Demography-ANZSIC_Ind L_Employee Count_Scaled","Business Demography-ANZSIC_Ind M_Employee Count_Scaled","Business Demography-ANZSIC_Ind N_Employee Count_Scaled","Business Demography-ANZSIC_Ind O_Employee Count_Scaled","Business Demography-ANZSIC_Ind P_Employee Count_Scaled","Business Demography-ANZSIC_Ind Q_Employee Count_Scaled","Business Demography-ANZSIC_Ind R_Employee Count_Scaled","Business Demography-ANZSIC_Ind S_Employee Count_Scaled","Local Authority Financial Stat- Total Government Spending ($ K)_Scaled","Local Authority Financial Stat- Total Govnerment Investment ($ K)_Scaled","Regional Industry GDP-Wholesale Trade ($ M)_Scaled","Regional Industry GDP-Transport, Postal And Warehousing ($ M)_Scaled","Regional Industry GDP-Retail Trade ($ M)_Scaled","Regional Industry GDP-Rental, Hiring And Real Estate Services ($ M)_Scaled","Regional Industry GDP-Public Administration And Safety ($ M)_Scaled","Regional Industry GDP-Professional, Scientific And Technical Services ($ M)_Scaled","Regional Industry GDP-Owner Occupied Property Operation ($ M)_Scaled","Regional Industry GDP-Manufacturing ($ M)_Scaled","Regional Industry GDP-Information Media, Telecommunications And Other Services ($ M)_Scaled","Regional Industry GDP-Health Care And Social Assistance ($ M)_Scaled","Regional Industry GDP-GST On Production, Import Duties and Other Taxes ($ M)_Scaled","Regional Industry GDP-Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services ($ M)_Scaled","Regional Industry GDP-Food And Beverage Services ($ M)_Scaled","Regional Industry GDP-Financial And Insurance Services ($ M)_Scaled","Regional Industry GDP-Education And Training ($ M)_Scaled","Regional Industry GDP-Construction ($ M)_Scaled","Regional Industry GDP-Agriculture ($ M)_Scaled","Regional Industry GDP-Administrative And Support Services ($ M)_Scaled","Regional Industry GDP-Accommodation ($ M)_Scaled","Economy Activities - GDP per capita ($)_Scaled","Regional Economic Statistics-Population Weighted Average Deprivation Index_Scaled"
"11","T019",2000,19,"South Waikato District",0,0.342857142857143,0.80870806566738,0,0,0.121212121212121,0.258823529411765,0.333333333333333,0.80952380952381,1,1,0,0,0,0.028680688342004,1,0,1,1,0.0588235294117647,1,0.875,0,0.714285714285714,1,0,0,0.666666666666667,0.142857142857143,1,0.75,0.5,0.666666666666667,0.428571428571429,0,0.25,1,0.210526315789474,0,0,0.875,0.4,0,1,0.545454545454545,1,0.75,0.263157894736842,0,0.136363636363636,0.0555555555555556,0,0,0.000515384767556878,0.916565029382415,0,0,0,0.513421870584911,0.0555555555555555,0.530201342281879,0.064882400648824,0.418000548797219,0,0.0157035175879397,0,0,0,0,0,0,0,0.120087336244541,0.424731182795699,0,0
"12","T020",2000,20,"Waitomo District",0,0,0,0,0,0.311475409836066,0.4,0.285714285714286,1,1,1,0,0,0,0.0166154482625843,0.830188679245283,0.5,1,0.5,0.1875,0.8,0.6,0,0.4,1,0,0,0.333333333333333,0,1,1,0.25,0.5,0.25,0.347826086956522,0.24,0,0.153846153846154,0.142857142857143,0.333333333333333,0.333333333333333,0.461538461538462,1,0.423076923076923,1,0,0,0,0.333333333333333,0.6,0,0.4,0,0.000451908638788363,0.24087195570527,0,0.611260053619303,0,0.138005923000987,0,0.0445062586926287,0.0120589548905761,0,0,0.0942408376963352,0,0,0,0,0.166002656042497,0.0367847411444142,0.126585489599188,0.0580645161290323,0.0126582278481013,0,0
"13","T021",2000,21,"Taupo District",0,0,0,0,0.107450530865545,0.556756756756757,0.557275541795666,0.214285714285714,0,1,0.928571428571429,0,0,0,0,0.883720930232558,0,0.117647058823529,0.5,0,1,0.416666666666667,0,0.0454545454545455,0,0,0,0.0136986301369863,0.0645161290322581,0.555555555555556,0,0,0,0,0.363636363636364,0,0.375,0.217391304347826,0.0277777777777778,0.176470588235294,0,0.125,0.125,0.96,0,0,0.166666666666667,0.117647058823529,0,0.0344827586206897,0,0,0.05,0.00780039435011586,0.52232410660725,0,0,0,0.0235570059147461,0,0.0319104848736013,0,0,0,0,0,0,0,0,0,0.0229031259671929,0,0.223175965665236,0,0,0
"14","T022",2000,22,"Western Bay of Plenty District",0,0,0,0.0210731198945578,0.240299339952299,0.316733067729084,0.253393665158371,0.0769230769230769,0,0.375,0.0555555555555556,0,0,0,0,0.587378640776699,0,0,0,0.130081300813008,0.0454545454545455,0.0540540540540541,0.037037037037037,0.111111111111111,0.4,0,0,0,0.0303030303030303,0.5,0,0,0.125,0,0,0.0526315789473684,0,0,0.029126213592233,0.0303030303030303,0.0952380952380952,0.0227272727272727,1,0.075,0.166666666666667,0,0,0,0,0.368421052631579,0,0,0,0,0.000781657113079729,0,0.00600120024004795,0,0,0,0,0,0,0,0.0318001135718342,0,0,0.0444591904445919,0,0.0763540921021236,0.0369361429372646,0.0684146086541046,0,0,0,0.526315789473684
"15","T023",2000,23,"Tauranga City",0,0.0102564102564103,0,0.0180201066453095,0.278669601081789,0.48780487804878,0.4300395256917,0.604651162790698,0,0,0,0,0,0,0,0.900763358778626,0.25,0.0425531914893617,0.666666666666667,0.140845070422535,0.196078431372549,0.0725806451612903,0,0.170212765957447,0,0,0.0138036809815951,0,0,0.125,0,0,0,0.0229885057471264,0.0797872340425532,0,0,0.0434782608695652,0.0114942528735632,0,0,0,0,0.753623188405797,0,0,0,0,0,0,0,0,0,0,0,0,0.00516827288480828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0579127287351699,0,0,0,0.184210526315788
"16","T024",2000,24,"Rotorua District",0,0.147945205479452,0,0,0,0.568253968253968,0.501930501930502,0.684210526315789,0,1,0.75,0,0,0,0,0.983333333333333,1,0.684210526315789,0.333333333333333,0.178082191780822,1,1,0,1,0,0,0.0309278350515464,0.0476190476190476,0.0714285714285714,0.4,0.166666666666667,0.0454545454545455,0.5,0.478260869565217,0,0.315789473684211,0.571428571428571,0,0.0526315789473684,1,0.1,0.0555555555555556,0.886363636363636,0.516129032258065,0.266666666666667,0.473684210526316,0.166666666666667,0,0.0714285714285714,0,0.0769230769230769,0,0,0.00114182861907356,0.176999730676003,0,0,0,0.227602235626141,0,0,0.000526089243866343,0,0,0,0,0.000312864415939059,0,0.0546606334841628,0,0.0156923076923077,0,0.0570491803278689,0,0,0
"17","T025",2000,25,"Whakatane District",0,0.0315789473684211,0,0,0,0.357664233576642,0.384105960264901,0.555555555555556,0.0555555555555556,1,1,0,0,0,0,1,0.5,0,0.25,0.0377358490566038,0.909090909090909,0.9,0.1,0.2,0,0,0,0,0.263157894736842,0.5,0,0.0833333333333333,0.222222222222222,0.157894736842105,0.0666666666666667,0.387096774193548,0.814814814814815,0.0487804878048781,0.148936170212766,0.0909090909090909,0.125,0,0.1875,0.363636363636364,0,0,0.105263157894737,0.0645161290322581,0,0,0,0,0,0.0234491888849806,0.0330460181552647,0.131770833333333,0,0.00780031201248047,0,0.00393336418324854,0.00301305657850686,0.00314795383001046,0.132658673413266,0,0,0,0.0630208096170484,0.0387994143484627,0,0,0.0160096662135629,0,0,0.101476014760148,0,0.343750000000001
"18","T026",2000,26,"Kawerau District",0.688875388146348,0.3,0.813546423135464,0,0,0.205882352941176,0.0666666666666667,0,0.9,1,1,0.19047619047619,0,0,0.0384812724395113,1,0,0.25,0.333333333333333,0,1,1,0.333333333333333,0.5,0,0,0,0.75,1,1,1,1,0.666666666666667,0.75,1,0,1,0,0,0.428571428571429,0.777777777777778,0.833333333333333,0.411764705882353,0.333333333333333,0.333333333333333,1,0.318181818181818,0.0674157303370786,0.25,0.181818181818182,0.05,0.75,0,0,0.375,0.209125475285171,0,0,0.289792387543253,0.0378250591016549,0.0718685831622177,0.897211155378486,0.777018822100789,0,0.00293685756240823,0.378378378378379,0,0.980198019801981,0.018140589569161,0.00605326876513315,0.156550703182828,0.408888888888889,0.1008,0.444444444444445,0.568933251195544,0
"19","T027",2000,27,"Opotiki District",0,0,0,0,0,0.674418604651163,0.857142857142857,0.333333333333333,0.709401709401709,1,1,0,0,0,0.0214886796293497,0.837837837837838,0,0,0,0.142857142857143,0.5,1,0.2,0.166666666666667,1,0,0,0.5,0.4,0,0.5,0,0.666666666666667,1,0,0,0.833333333333333,0,0,0.5,1,0.222222222222222,0.615384615384615,1,0.393939393939394,0,0.6,0.0217391304347826,0.666666666666667,0.75,0,0.428571428571429,0.583333333333333,0.00340192353240459,0.0534171249018068,0.228813559322034,0.671933085501859,0.0275526742301459,0,0.0671462829736211,0.00262467191601056,0,0.177693761814745,0.0101465614430665,0,0,0.060363121905211,0.168067226890756,0,0,0,0,0,0,0,0
"20","T028",2000,28,"Gisborne District",0,0,0,0,0,0.218045112781955,0.168067226890756,0.615384615384615,0.125,1,1,0,0.0384615384615385,0,0.0094542332600853,0.876190476190476,0,1,0.5,0.132075471698113,0.333333333333333,0.933333333333333,0.142857142857143,0,0.25,0.0169491525423729,0,0.184210526315789,0.0666666666666667,1,0.166666666666667,0,0.666666666666667,0.4,0.75,0.3,0.230769230769231,1,0.315068493150685,0.555555555555556,0.428571428571429,0.129032258064516,0.1,0.272727272727273,0,0.0625,0,0,0,0,0,0.153846153846154,0.285714285714286,0,0.224677997103879,0.0258836626774283,0.153947715870082,0,0.0149691590191064,0,0.0157839354612416,0.00894259818731112,0.876315041228319,0.0245057087162351,0,0,0.0723750861125745,0,0.0440508628519528,0,0,0,0.0356083086053413,0.397205588822355,0,0
