"","Year","Area.Code","TA Title","Region Title","Annual GDP Increase Percent_Calc","Annual Enterprise Increase Percent_Calc","Annual Employee Increase Percent_Calc"
"96",2001,"T038",38,"Rangitikei District",0.112114828435748,-0.0273972602739726,0.0694529809465274
"97",2001,"T039",39,"Manawatu District",0.0932296277559967,0.00635785649409628,0.00128644939965695
"98",2001,"T040",40,"Palmerston North City",0.039905442423105,-0.0101522842639594,0.0101451900929113
"99",2001,"T041",41,"Tararua District",0.100212722557333,0.00803212851405622,-0.00932953826691967
"100",2001,"T042",42,"Horowhenua District",0.128959916392693,0.00220994475138122,0.0181265349081979
"101",2001,"T043",43,"Kapiti Coast District",-0.0137495089461089,-0.0109546165884194,-0.00188264825855036
"102",2001,"T044",44,"Porirua City",0.0253043166939443,-0.00623052959501558,-0.0113462621710791
"103",2001,"T045",45,"Upper Hutt City",-0.0552628120108494,0.200298953662182,0.0533638080095399
"104",2001,"T046",46,"Lower Hutt City",0.0216910685190196,-0.0279206465833946,0.0177888198757764
"105",2001,"T047",47,"Wellington City",0.00839612207353844,-0.0229885057471264,0.0185208255471118
"106",2001,"T048",48,"Masterton District",0.098591834667207,0.0218446601941748,0.011439885601144
"107",2001,"T049",49,"Carterton District",0.137184380504991,0.0127388535031847,0.100617828773169
"108",2001,"T050",50,"South Wairarapa District",0.175526144499891,0.0114942528735632,0.0668868703550785
"109",2001,"T051",51,"Tasman District",0.114125301012466,0.00647820965842167,0.0326633165829146
"110",2001,"T052",52,"Nelson City",0.0435682235603188,0.00850460666194188,0.00238117915991999
"111",2001,"T053",53,"Marlborough District",0.0945572139303482,0.0192083818393481,0.0300245098039216
"112",2001,"T054",54,"Kaikoura District",0.0444444444444443,-0.00518134715025907,0.0665044606650446
"113",2001,"T055",55,"Buller District",0.189782412036376,-0.0256410256410256,0.0435889277760102
"114",2001,"T056",56,"Grey District",0.10199837530463,-0.0209302325581395,-0.00351802990325418
"115",2001,"T057",57,"Westland District",0.122778310669751,0.0188172043010753,0.0245276764998343
"116",2001,"T058",58,"Hurunui District",0.24392608300515,0.0061633281972265,0.0893854748603352
"117",2001,"T059",59,"Waimakariri District",0.0849662555271119,0.0262199563000728,0.0334985930590915
"118",2001,"T060",60,"Christchurch City",0.0319796579735456,-0.014551501922877,0.0403525338369531
"119",2001,"T062",62,"Selwyn District",0.149141731544883,0.0233962264150943,0.111517583195657
"120",2001,"T063",63,"Ashburton District",0.0823690229675045,0.0266990291262136,-0.0294361525704809
"121",2001,"T064",64,"Timaru District",0.0657882518030894,-0.00604432505036938,0.0278765630377423
"122",2001,"T065",65,"Mackenzie District",0.171523646263991,0.013953488372093,0.100348432055749
"123",2001,"T066",66,"Waimate District",0.180027359781122,-0.0184210526315789,-0.0635953930896345
"124",2001,"T068",68,"Waitaki District",0.123747826806855,0.00492610837438424,0.0310810810810811
"125",2001,"T069",69,"Central Otago District",0.14647406733394,0.0256756756756757,0.00539160045402951
"126",2001,"T070",70,"Queenstown-Lakes District",0.142817804527842,0.0715811965811966,0.0954155374887082
"127",2001,"T071",71,"Dunedin City",0.0364272567302441,-0.00577249575551783,0.0276277523888658
"128",2001,"T072",72,"Clutha District",0.196974073004377,0.0409090909090909,0.0241283309028238
"129",2001,"T073",73,"Southland District",0.280744872996639,0.0427698574338086,0.0561806411837238
"130",2001,"T074",74,"Gore District",0.199826614651062,-0.00541516245487365,0.0635538261997406
"131",2001,"T075",75,"Invercargill City",0.0772433990756418,0.00902255639097744,0.0307713600295257
"132",2001,"T076",76,"Auckland",0.0287614396013715,-0.017928480950989,0.00277666073035752
"133",2002,"T001",1,"Far North District",0.06896112298312,0.0168258299226921,0.0493389229280877
"134",2002,"T002",2,"Whangarei District",0.0799712906318864,0.0178918708673668,0.0559440559440559
"135",2002,"T003",3,"Kaipara District",0.0980216072060304,0.0117073170731707,0.0526995052699505
"136",2002,"T011",11,"Thames-Coromandel District",0.070603207951194,0.00625558534405719,0.045426642111725
"137",2002,"T012",12,"Hauraki District",0.146918409461915,-0.00121065375302663,0.0301695661748514
"138",2002,"T013",13,"Waikato District",0.163852964851087,0.0225066195939982,0.0878800499791753
"139",2002,"T015",15,"Matamata-Piako District",0.137660933552508,0.0107913669064748,0.0735090152565881
"140",2002,"T016",16,"Hamilton City",0.0688785963518061,0.00357675111773472,0.0373554312187006
"141",2002,"T017",17,"Waipa District",0.0796820114623776,0.00905218317358892,0.103687635574837
"142",2002,"T018",18,"Otorohanga District",0.142127264282397,0.0228070175438597,0.0936329588014981
"143",2002,"T019",19,"South Waikato District",0.0389437574011451,0.00675675675675676,-0.00885848845032518
"144",2002,"T020",20,"Waitomo District",0.0993909939099391,0.0265848670756646,0.034397426379609
"145",2002,"T021",21,"Taupo District",0.0737843227488879,0.0191986644407346,0.0108864696734059
"146",2002,"T022",22,"Western Bay of Plenty District",0.112838490067571,0.0278920896204847,0.0594991721854305
"147",2002,"T023",23,"Tauranga City",0.102203244030782,0.0139726897427755,0.0704945054945055
"148",2002,"T024",24,"Rotorua District",0.0718274351464643,-0.00418799441600745,0.0694813208182192
"149",2002,"T025",25,"Whakatane District",0.0805590452261307,0.020979020979021,0.0352657004830918
"150",2002,"T026",26,"Kawerau District",-0.174101574101574,-0.00943396226415094,0.0182798921186695
"151",2002,"T027",27,"Opotiki District",0.0705425027153719,-0.00285714285714286,0.0113314447592068
"152",2002,"T028",28,"Gisborne District",0.0433620638646181,0.00350140056022409,0.0438559322033898
"153",2002,"T029",29,"Wairoa District",0.0543795784459126,0.0352564102564103,0.0366180410836559
"154",2002,"T030",30,"Hastings District",0.0803124885919762,0.027603513174404,0.0849485160508783
"155",2002,"T031",31,"Napier City",0.02754435480647,0.00982961992136304,0.0166744730679157
"156",2002,"T032",32,"Central Hawke's Bay District",0.114590441529557,0.00575539568345324,0.0325732899022801
"157",2002,"T033",33,"New Plymouth District",0.0188291011144993,0.00838112042346714,0.066063704286276
"158",2002,"T034",34,"Stratford District",0.161073825503356,-0.01,0.0370656370656371
"159",2002,"T035",35,"South Taranaki District",0.0149034704884602,0.0100401606425703,0.0872943327239488
"160",2002,"T036",36,"Ruapehu District",0.0735013410007974,0.025974025974026,0.0653061224489796
"161",2002,"T037",37,"Whanganui District",0.0682684569443856,0.00604490500863558,0.027027027027027
"162",2002,"T038",38,"Rangitikei District",0.124763219571708,0.0112676056338028,0.0503831417624521
"163",2002,"T039",39,"Manawatu District",0.087342138243517,0.00541516245487365,-0.0115631691648822
"164",2002,"T040",40,"Palmerston North City",0.0547292971049679,0.0125874125874126,0.0267479695626553
"165",2002,"T041",41,"Tararua District",0.113068121623053,0.00597609561752988,0.0667198723064645
"166",2002,"T042",42,"Horowhenua District",0.0457841549024146,-0.0110253583241455,0.0040202159430278
"167",2002,"T043",43,"Kapiti Coast District",0.057901216685979,0.00395569620253165,0.0467358273079744
"168",2002,"T044",44,"Porirua City",0.123636000848018,-0.0125391849529781,0.0787888653752238
"169",2002,"T045",45,"Upper Hutt City",0.136063541851112,-0.0136986301369863,-0.0386792452830189
"170",2002,"T046",46,"Lower Hutt City",0.0237269415321501,-0.0170068027210884,-0.00405214079968755
"171",2002,"T047",47,"Wellington City",0.0779572114898816,-0.00833953834698436,0.00028539976352591
"172",2002,"T048",48,"Masterton District",0.0774976485125689,0.00475059382422803,0.0299075584556824
